transformer_2t_2l_b64-l5e-05-h64-d0.4
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 001 | Train Loss: 0.6942, Train Acc: 0.4958 | Val Loss: 0.6925, Val Acc: 0.4981 | LR: 0.00000423
Epoch 002 | Train Loss: 0.6908, Train Acc: 0.5021 | Val Loss: 0.6909, Val Acc: 0.4981 | LR: 0.00000423
Epoch 003 | Train Loss: 0.6903, Train Acc: 0.5288 | Val Loss: 0.6908, Val Acc: 0.4981 | LR: 0.00000423
Epoch 004 | Train Loss: 0.6901, Train Acc: 0.5327 | Val Loss: 0.6904, Val Acc: 0.4981 | LR: 0.00000423
Epoch 005 | Train Loss: 0.6902, Train Acc: 0.5217 | Val Loss: 0.6906, Val Acc: 0.4981 | LR: 0.00000423
Epoch 006 | Train Loss: 0.6900, Train Acc: 0.5371 | Val Loss: 0.6906, Val Acc: 0.4981 | LR: 0.00000423
Epoch 007 | Train Loss: 0.6897, Train Acc: 0.5321 | Val Loss: 0.6904, Val Acc: 0.4981 | LR: 0.00000423
Epoch 008 | Train Loss: 0.6896, Train Acc: 0.5600 | Val Loss: 0.6899, Val Acc: 0.4981 | LR: 0.00000422
Epoch 009 | Train Loss: 0.6895, Train Acc: 0.5556 | Val Loss: 0.6902, Val Acc: 0.4981 | LR: 0.00000423
Epoch 010 | Train Loss: 0.6893, Train Acc: 0.5618 | Val Loss: 0.6901, Val Acc: 0.4981 | LR: 0.00000423
Epoch 011 | Train Loss: 0.6890, Train Acc: 0.5856 | Val Loss: 0.6899, Val Acc: 0.4981 | LR: 0.00000422
Epoch 012 | Train Loss: 0.6885, Train Acc: 0.5788 | Val Loss: 0.6892, Val Acc: 0.4981 | LR: 0.00000422
Epoch 013 | Train Loss: 0.6883, Train Acc: 0.5931 | Val Loss: 0.6890, Val Acc: 0.4981 | LR: 0.00000422
Epoch 014 | Train Loss: 0.6878, Train Acc: 0.5809 | Val Loss: 0.6888, Val Acc: 0.4981 | LR: 0.00000422
Epoch 015 | Train Loss: 0.6871, Train Acc: 0.6022 | Val Loss: 0.6901, Val Acc: 0.4981 | LR: 0.00000423
Epoch 016 | Train Loss: 0.6868, Train Acc: 0.5901 | Val Loss: 0.6884, Val Acc: 0.4981 | LR: 0.00000422
Epoch 017 | Train Loss: 0.6862, Train Acc: 0.5984 | Val Loss: 0.6873, Val Acc: 0.4981 | LR: 0.00000422
Epoch 018 | Train Loss: 0.6855, Train Acc: 0.6231 | Val Loss: 0.6880, Val Acc: 0.4981 | LR: 0.00000422
