transformer_3t_2l_b32-l5e-06-h64-d0.4
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 001 | Train Loss: 0.6909, Train Acc: 0.4996 | Val Loss: 0.6905, Val Acc: 0.4981 | LR: 0.00000042
Epoch 002 | Train Loss: 0.6906, Train Acc: 0.5059 | Val Loss: 0.6904, Val Acc: 0.4981 | LR: 0.00000042
Epoch 003 | Train Loss: 0.6905, Train Acc: 0.5040 | Val Loss: 0.6903, Val Acc: 0.4981 | LR: 0.00000042
Epoch 004 | Train Loss: 0.6906, Train Acc: 0.5053 | Val Loss: 0.6903, Val Acc: 0.4981 | LR: 0.00000042
Epoch 005 | Train Loss: 0.6904, Train Acc: 0.5091 | Val Loss: 0.6904, Val Acc: 0.4981 | LR: 0.00000042
Epoch 006 | Train Loss: 0.6905, Train Acc: 0.5067 | Val Loss: 0.6903, Val Acc: 0.4981 | LR: 0.00000042
Epoch 007 | Train Loss: 0.6904, Train Acc: 0.5066 | Val Loss: 0.6903, Val Acc: 0.4981 | LR: 0.00000042
Epoch 008 | Train Loss: 0.6903, Train Acc: 0.5134 | Val Loss: 0.6902, Val Acc: 0.4981 | LR: 0.00000042
Epoch 009 | Train Loss: 0.6902, Train Acc: 0.5205 | Val Loss: 0.6904, Val Acc: 0.4981 | LR: 0.00000042
Epoch 010 | Train Loss: 0.6902, Train Acc: 0.5197 | Val Loss: 0.6901, Val Acc: 0.4981 | LR: 0.00000042
Epoch 011 | Train Loss: 0.6902, Train Acc: 0.5153 | Val Loss: 0.6900, Val Acc: 0.4981 | LR: 0.00000042
Epoch 012 | Train Loss: 0.6901, Train Acc: 0.5135 | Val Loss: 0.6900, Val Acc: 0.4981 | LR: 0.00000042
Epoch 013 | Train Loss: 0.6895, Train Acc: 0.5270 | Val Loss: 0.6897, Val Acc: 0.4981 | LR: 0.00000042
