transformer_2t_2l_b32-l5e-06-h64-d0.4
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 001 | Train Loss: 0.7080, Train Acc: 0.5059 | Val Loss: 0.7107, Val Acc: 0.4981 | LR: 0.00000043
Epoch 002 | Train Loss: 0.7030, Train Acc: 0.5024 | Val Loss: 0.7022, Val Acc: 0.4981 | LR: 0.00000043
Epoch 003 | Train Loss: 0.6993, Train Acc: 0.4952 | Val Loss: 0.6969, Val Acc: 0.4981 | LR: 0.00000042
Epoch 004 | Train Loss: 0.6945, Train Acc: 0.5045 | Val Loss: 0.6944, Val Acc: 0.4981 | LR: 0.00000042
Epoch 005 | Train Loss: 0.6929, Train Acc: 0.5072 | Val Loss: 0.6932, Val Acc: 0.4981 | LR: 0.00000042
Epoch 006 | Train Loss: 0.6915, Train Acc: 0.5182 | Val Loss: 0.6929, Val Acc: 0.4981 | LR: 0.00000042
Epoch 007 | Train Loss: 0.6930, Train Acc: 0.4970 | Val Loss: 0.6921, Val Acc: 0.4981 | LR: 0.00000042
Epoch 008 | Train Loss: 0.6924, Train Acc: 0.4902 | Val Loss: 0.6917, Val Acc: 0.4981 | LR: 0.00000042
Epoch 009 | Train Loss: 0.6920, Train Acc: 0.4813 | Val Loss: 0.6915, Val Acc: 0.4951 | LR: 0.00000042
Epoch 010 | Train Loss: 0.6919, Train Acc: 0.4590 | Val Loss: 0.6914, Val Acc: 0.4270 | LR: 0.00000042
Epoch 011 | Train Loss: 0.6918, Train Acc: 0.4593 | Val Loss: 0.6914, Val Acc: 0.4489 | LR: 0.00000042
Epoch 012 | Train Loss: 0.6919, Train Acc: 0.4542 | Val Loss: 0.6914, Val Acc: 0.4521 | LR: 0.00000042
Epoch 013 | Train Loss: 0.6917, Train Acc: 0.4648 | Val Loss: 0.6913, Val Acc: 0.4651 | LR: 0.00000042
Epoch 014 | Train Loss: 0.6918, Train Acc: 0.4562 | Val Loss: 0.6913, Val Acc: 0.4454 | LR: 0.00000042
Epoch 015 | Train Loss: 0.6915, Train Acc: 0.4753 | Val Loss: 0.6913, Val Acc: 0.4914 | LR: 0.00000042
Epoch 016 | Train Loss: 0.6918, Train Acc: 0.4672 | Val Loss: 0.6913, Val Acc: 0.4907 | LR: 0.00000042
Epoch 017 | Train Loss: 0.6916, Train Acc: 0.4650 | Val Loss: 0.6912, Val Acc: 0.4568 | LR: 0.00000042
Epoch 018 | Train Loss: 0.6916, Train Acc: 0.4668 | Val Loss: 0.6912, Val Acc: 0.4556 | LR: 0.00000042
Epoch 019 | Train Loss: 0.6915, Train Acc: 0.4694 | Val Loss: 0.6911, Val Acc: 0.4517 | LR: 0.00000042
Epoch 020 | Train Loss: 0.6916, Train Acc: 0.4613 | Val Loss: 0.6911, Val Acc: 0.4677 | LR: 0.00000042
Epoch 021 | Train Loss: 0.6916, Train Acc: 0.4755 | Val Loss: 0.6911, Val Acc: 0.4981 | LR: 0.00000042
Epoch 022 | Train Loss: 0.6912, Train Acc: 0.4906 | Val Loss: 0.6911, Val Acc: 0.4981 | LR: 0.00000042
Epoch 023 | Train Loss: 0.6916, Train Acc: 0.4762 | Val Loss: 0.6910, Val Acc: 0.4981 | LR: 0.00000042
Epoch 024 | Train Loss: 0.6912, Train Acc: 0.4818 | Val Loss: 0.6910, Val Acc: 0.4981 | LR: 0.00000042
Epoch 025 | Train Loss: 0.6913, Train Acc: 0.4800 | Val Loss: 0.6910, Val Acc: 0.4979 | LR: 0.00000042
Epoch 026 | Train Loss: 0.6913, Train Acc: 0.4815 | Val Loss: 0.6910, Val Acc: 0.4981 | LR: 0.00000042
Epoch 027 | Train Loss: 0.6912, Train Acc: 0.4875 | Val Loss: 0.6909, Val Acc: 0.4981 | LR: 0.00000042
Epoch 028 | Train Loss: 0.6914, Train Acc: 0.4805 | Val Loss: 0.6909, Val Acc: 0.4979 | LR: 0.00000042
Epoch 029 | Train Loss: 0.6912, Train Acc: 0.4808 | Val Loss: 0.6908, Val Acc: 0.5193 | LR: 0.00000042
Epoch 030 | Train Loss: 0.6912, Train Acc: 0.4859 | Val Loss: 0.6908, Val Acc: 0.4981 | LR: 0.00000042
Epoch 031 | Train Loss: 0.6910, Train Acc: 0.4952 | Val Loss: 0.6908, Val Acc: 0.4981 | LR: 0.00000042
Epoch 032 | Train Loss: 0.6911, Train Acc: 0.4853 | Val Loss: 0.6907, Val Acc: 0.4981 | LR: 0.00000042
Epoch 033 | Train Loss: 0.6912, Train Acc: 0.4835 | Val Loss: 0.6907, Val Acc: 0.4981 | LR: 0.00000042
Epoch 034 | Train Loss: 0.6910, Train Acc: 0.4894 | Val Loss: 0.6906, Val Acc: 0.5026 | LR: 0.00000042
Epoch 035 | Train Loss: 0.6910, Train Acc: 0.4917 | Val Loss: 0.6906, Val Acc: 0.5021 | LR: 0.00000042
Epoch 036 | Train Loss: 0.6909, Train Acc: 0.4927 | Val Loss: 0.6906, Val Acc: 0.5019 | LR: 0.00000042
