transformer_3t_2l_b32-l5e-06-h64-d0.5
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 001 | Train Loss: 0.6910, Train Acc: 0.4999 | Val Loss: 0.6907, Val Acc: 0.4863 | LR: 0.00000042
Epoch 002 | Train Loss: 0.6907, Train Acc: 0.5064 | Val Loss: 0.6908, Val Acc: 0.4991 | LR: 0.00000042
Epoch 003 | Train Loss: 0.6906, Train Acc: 0.5108 | Val Loss: 0.6908, Val Acc: 0.4988 | LR: 0.00000042
Epoch 004 | Train Loss: 0.6904, Train Acc: 0.5115 | Val Loss: 0.6911, Val Acc: 0.4981 | LR: 0.00000042
Epoch 005 | Train Loss: 0.6903, Train Acc: 0.5131 | Val Loss: 0.6911, Val Acc: 0.4981 | LR: 0.00000042
Epoch 006 | Train Loss: 0.6905, Train Acc: 0.5136 | Val Loss: 0.6907, Val Acc: 0.4993 | LR: 0.00000042
Epoch 007 | Train Loss: 0.6906, Train Acc: 0.5061 | Val Loss: 0.6908, Val Acc: 0.4981 | LR: 0.00000042
Epoch 008 | Train Loss: 0.6903, Train Acc: 0.5147 | Val Loss: 0.6907, Val Acc: 0.4981 | LR: 0.00000042
Epoch 009 | Train Loss: 0.6904, Train Acc: 0.5139 | Val Loss: 0.6910, Val Acc: 0.4981 | LR: 0.00000042
Epoch 010 | Train Loss: 0.6903, Train Acc: 0.5104 | Val Loss: 0.6909, Val Acc: 0.4981 | LR: 0.00000042
Epoch 011 | Train Loss: 0.6905, Train Acc: 0.5093 | Val Loss: 0.6912, Val Acc: 0.4981 | LR: 0.00000042
Epoch 012 | Train Loss: 0.6904, Train Acc: 0.5085 | Val Loss: 0.6908, Val Acc: 0.4981 | LR: 0.00000042
Epoch 013 | Train Loss: 0.6903, Train Acc: 0.5166 | Val Loss: 0.6907, Val Acc: 0.4981 | LR: 0.00000042
Epoch 014 | Train Loss: 0.6903, Train Acc: 0.5171 | Val Loss: 0.6913, Val Acc: 0.4981 | LR: 0.00000042
Epoch 015 | Train Loss: 0.6902, Train Acc: 0.5145 | Val Loss: 0.6911, Val Acc: 0.4981 | LR: 0.00000042
Epoch 016 | Train Loss: 0.6902, Train Acc: 0.5142 | Val Loss: 0.6908, Val Acc: 0.4981 | LR: 0.00000042
Epoch 017 | Train Loss: 0.6903, Train Acc: 0.5194 | Val Loss: 0.6906, Val Acc: 0.4981 | LR: 0.00000042
Epoch 018 | Train Loss: 0.6901, Train Acc: 0.5242 | Val Loss: 0.6907, Val Acc: 0.4981 | LR: 0.00000042
Epoch 019 | Train Loss: 0.6902, Train Acc: 0.5187 | Val Loss: 0.6907, Val Acc: 0.4981 | LR: 0.00000042
Epoch 020 | Train Loss: 0.6902, Train Acc: 0.5198 | Val Loss: 0.6906, Val Acc: 0.4981 | LR: 0.00000042
Epoch 021 | Train Loss: 0.6902, Train Acc: 0.5231 | Val Loss: 0.6905, Val Acc: 0.4981 | LR: 0.00000042
Epoch 022 | Train Loss: 0.6902, Train Acc: 0.5189 | Val Loss: 0.6906, Val Acc: 0.4981 | LR: 0.00000042
Epoch 023 | Train Loss: 0.6902, Train Acc: 0.5221 | Val Loss: 0.6906, Val Acc: 0.4981 | LR: 0.00000042
Epoch 024 | Train Loss: 0.6901, Train Acc: 0.5271 | Val Loss: 0.6904, Val Acc: 0.4981 | LR: 0.00000042
