transformer_2t_2l_b32-l1e-05-h64-d0.6
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 046 | Train Loss: 0.6904, Train Acc: 0.5166 | Val Loss: 0.6909, Val Acc: 0.5009 | LR: 0.00000085
Epoch 047 | Train Loss: 0.6900, Train Acc: 0.5128 | Val Loss: 0.6908, Val Acc: 0.5019 | LR: 0.00000085
Epoch 048 | Train Loss: 0.6900, Train Acc: 0.5119 | Val Loss: 0.6909, Val Acc: 0.5009 | LR: 0.00000085
Epoch 049 | Train Loss: 0.6902, Train Acc: 0.5135 | Val Loss: 0.6904, Val Acc: 0.5295 | LR: 0.00000085
Epoch 050 | Train Loss: 0.6903, Train Acc: 0.5082 | Val Loss: 0.6906, Val Acc: 0.5056 | LR: 0.00000085
Epoch 051 | Train Loss: 0.6903, Train Acc: 0.5104 | Val Loss: 0.6909, Val Acc: 0.5005 | LR: 0.00000085
Epoch 052 | Train Loss: 0.6905, Train Acc: 0.5112 | Val Loss: 0.6910, Val Acc: 0.4991 | LR: 0.00000085
Epoch 053 | Train Loss: 0.6905, Train Acc: 0.5084 | Val Loss: 0.6906, Val Acc: 0.5042 | LR: 0.00000085
Epoch 054 | Train Loss: 0.6901, Train Acc: 0.5193 | Val Loss: 0.6915, Val Acc: 0.4981 | LR: 0.00000085
Epoch 055 | Train Loss: 0.6904, Train Acc: 0.5126 | Val Loss: 0.6913, Val Acc: 0.4984 | LR: 0.00000085
Epoch 056 | Train Loss: 0.6900, Train Acc: 0.5326 | Val Loss: 0.6914, Val Acc: 0.4981 | LR: 0.00000085
Epoch 057 | Train Loss: 0.6901, Train Acc: 0.5184 | Val Loss: 0.6912, Val Acc: 0.4988 | LR: 0.00000085
Epoch 058 | Train Loss: 0.6901, Train Acc: 0.5142 | Val Loss: 0.6909, Val Acc: 0.4998 | LR: 0.00000085
