transformer_2t_2l_b32-l1e-05-h64-d0.5
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 001 | Train Loss: 0.7361, Train Acc: 0.5028 | Val Loss: 0.7457, Val Acc: 0.5019 | LR: 0.00000087
Epoch 002 | Train Loss: 0.7221, Train Acc: 0.4983 | Val Loss: 0.7233, Val Acc: 0.5019 | LR: 0.00000086
Epoch 003 | Train Loss: 0.7081, Train Acc: 0.4959 | Val Loss: 0.7091, Val Acc: 0.5019 | LR: 0.00000085
Epoch 004 | Train Loss: 0.6982, Train Acc: 0.4991 | Val Loss: 0.7005, Val Acc: 0.5019 | LR: 0.00000085
Epoch 005 | Train Loss: 0.6924, Train Acc: 0.5088 | Val Loss: 0.6968, Val Acc: 0.5019 | LR: 0.00000085
Epoch 006 | Train Loss: 0.6920, Train Acc: 0.5001 | Val Loss: 0.6943, Val Acc: 0.5019 | LR: 0.00000085
Epoch 007 | Train Loss: 0.6909, Train Acc: 0.5060 | Val Loss: 0.6937, Val Acc: 0.5019 | LR: 0.00000085
Epoch 008 | Train Loss: 0.6908, Train Acc: 0.5025 | Val Loss: 0.6931, Val Acc: 0.5019 | LR: 0.00000085
Epoch 009 | Train Loss: 0.6907, Train Acc: 0.5079 | Val Loss: 0.6931, Val Acc: 0.5019 | LR: 0.00000085
Epoch 010 | Train Loss: 0.6912, Train Acc: 0.4926 | Val Loss: 0.6924, Val Acc: 0.5019 | LR: 0.00000085
Epoch 011 | Train Loss: 0.6908, Train Acc: 0.4977 | Val Loss: 0.6922, Val Acc: 0.5019 | LR: 0.00000085
Epoch 012 | Train Loss: 0.6907, Train Acc: 0.5060 | Val Loss: 0.6925, Val Acc: 0.5019 | LR: 0.00000085
Epoch 013 | Train Loss: 0.6907, Train Acc: 0.5035 | Val Loss: 0.6923, Val Acc: 0.5019 | LR: 0.00000085
Epoch 014 | Train Loss: 0.6906, Train Acc: 0.5014 | Val Loss: 0.6922, Val Acc: 0.5019 | LR: 0.00000085
Epoch 015 | Train Loss: 0.6907, Train Acc: 0.5012 | Val Loss: 0.6919, Val Acc: 0.5019 | LR: 0.00000085
Epoch 016 | Train Loss: 0.6907, Train Acc: 0.5044 | Val Loss: 0.6918, Val Acc: 0.5019 | LR: 0.00000085
Epoch 017 | Train Loss: 0.6906, Train Acc: 0.5057 | Val Loss: 0.6916, Val Acc: 0.5019 | LR: 0.00000085
Epoch 018 | Train Loss: 0.6906, Train Acc: 0.5098 | Val Loss: 0.6916, Val Acc: 0.5019 | LR: 0.00000085
Epoch 019 | Train Loss: 0.6905, Train Acc: 0.5125 | Val Loss: 0.6916, Val Acc: 0.5019 | LR: 0.00000085
Epoch 020 | Train Loss: 0.6904, Train Acc: 0.5171 | Val Loss: 0.6914, Val Acc: 0.5019 | LR: 0.00000085
Epoch 021 | Train Loss: 0.6905, Train Acc: 0.5133 | Val Loss: 0.6915, Val Acc: 0.5019 | LR: 0.00000085
Epoch 022 | Train Loss: 0.6905, Train Acc: 0.5115 | Val Loss: 0.6917, Val Acc: 0.5019 | LR: 0.00000085
Epoch 023 | Train Loss: 0.6902, Train Acc: 0.5190 | Val Loss: 0.6915, Val Acc: 0.5019 | LR: 0.00000085
Epoch 024 | Train Loss: 0.6902, Train Acc: 0.5172 | Val Loss: 0.6917, Val Acc: 0.5019 | LR: 0.00000085
Epoch 025 | Train Loss: 0.6906, Train Acc: 0.5081 | Val Loss: 0.6914, Val Acc: 0.5019 | LR: 0.00000085
Epoch 026 | Train Loss: 0.6900, Train Acc: 0.5229 | Val Loss: 0.6916, Val Acc: 0.5019 | LR: 0.00000085
Epoch 027 | Train Loss: 0.6899, Train Acc: 0.5183 | Val Loss: 0.6916, Val Acc: 0.5019 | LR: 0.00000085
Epoch 028 | Train Loss: 0.6900, Train Acc: 0.5133 | Val Loss: 0.6914, Val Acc: 0.5019 | LR: 0.00000085
